Date,KyatToBaht
6/1/2024,117.2
6/2/2024,116.3
6/3/2024,114
6/4/2024,119
6/5/2024,122
6/6/2024,118.5
6/7/2024,118.3
6/8/2024,118.5
6/9/2024,118.25
6/10/2024,117.6
6/11/2024,118.5
6/12/2024,120.7
6/13/2024,122
6/14/2024,123.5
6/15/2024,123
6/16/2024,122
6/17/2024,122.1
6/18/2024,121.7
6/19/2024,122
6/20/2024,123.8
6/21/2024,123.2
6/22/2024,123.2
6/23/2024,123.2
6/24/2024,123.9
6/25/2024,124.7
6/26/2024,124.9
6/27/2024,124
6/28/2024,124.25
6/29/2024,124
6/30/2024,124.2
7/1/2024,124.5
7/2/2024,124.2
7/3/2024,125.3
7/4/2024,126.5
7/5/2024,127
7/6/2024,127
7/7/2024,127.2
7/8/2024,127
7/9/2024,129.5
7/10/2024,131.5
7/11/2024,135
7/12/2024,138.1
7/13/2024,139.5
7/14/2024,139.9
7/15/2024,137.8
7/16/2024,133.3
7/17/2024,134.6
7/18/2024,134.7
7/19/2024,134.8
7/20/2024,134.2
7/21/2024,133.3
7/22/2024,133.5
7/23/2024,135.5
7/24/2024,137
7/25/2024,138.5
7/26/2024,137.5
7/27/2024,139
7/28/2024,139.5
7/29/2024,140
7/30/2024,144.5
7/31/2024,148
8/1/2024,149
8/2/2024,149.5
8/3/2024,148.8
8/4/2024,147
